days ,Date,Open,High,Low,Close,Adj Close,Volume,avg
5,31/7/2009,2.936111,3.007222,2.909722,2.941667,2.864026,27435600,2.958472
1,3/8/2009,3.045833,3.100833,2.993889,3.089722,3.008173,19800000,3.047361
2,4/8/2009,3.051944,3.130556,3.033889,3.119444,3.037111,17492400,3.0822225
3,5/8/2009,3.126944,3.131667,3.013611,3.097222,3.015476,31284000,3.072639
4,6/8/2009,3.135833,3.145278,3,3.039167,2.958952,34624800,3.072639
5,7/8/2009,3.140278,3.236944,3.088611,3.159722,3.076326,22021200,3.1627775
1,10/8/2009,3.118889,3.162778,3.076389,3.137778,3.054961,23256000,3.1195835
2,11/8/2009,3.101389,3.105,3,3.018333,2.938669,24364800,3.0525
3,12/8/2009,3.005833,3.189722,3.005833,3.123333,3.040898,35895600,3.0977775
4,13/8/2009,3.166667,3.196944,3.074722,3.193889,3.109592,50356800,3.135833
5,14/8/2009,3.196389,3.196389,3.016389,3.1175,3.035218,36057600,3.106389
1,17/8/2009,2.939167,2.945278,2.871667,2.885833,2.809666,42069600,2.9084725
2,18/8/2009,2.911389,2.986667,2.892778,2.965,2.886744,26715600,2.9397225
3,19/8/2009,2.885833,3.063611,2.881389,3.033056,2.953004,30841200,2.9725
4,20/8/2009,3.040556,3.148611,3.027778,3.132222,3.049552,25786800,3.0881945
5,21/8/2009,3.205278,3.328056,3.188056,3.307222,3.219933,30758400,3.258056
1,24/8/2009,3.351389,3.406667,3.276667,3.306667,3.219393,30153600,3.341667
2,25/8/2009,3.352222,3.426111,3.310278,3.328611,3.240757,42822000,3.3681945
3,26/8/2009,3.299722,3.3775,3.268889,3.327778,3.239947,41972400,3.3231945
4,27/8/2009,3.321389,3.385,3.214722,3.358611,3.269966,55652400,3.299861
5,28/8/2009,3.435278,3.446111,3.283056,3.346667,3.258337,42440400,3.3645835
1,31/8/2009,3.251389,3.270833,3.201389,3.264444,3.178284,51634800,3.236111
2,1/9/2009,3.216111,3.333333,3.026667,3.041389,2.961117,68752800,3.18
3,2/9/2009,3.007222,3.066389,2.9875,3.0125,2.93299,33692400,3.0269445
4,3/9/2009,3.061667,3.095556,2.991111,3.079167,2.997897,26550000,3.0433335
5,4/9/2009,3.103056,3.216667,3.076944,3.213889,3.129063,31633200,3.1468055
1,7/9/2009,,,,3.213889,,,3.1468055
2,8/9/2009,3.3075,3.308889,3.246667,3.298333,3.211279,31867200,3.277778
3,9/9/2009,3.316944,3.408056,3.286111,3.375833,3.286733,27212400,3.3470835
4,10/9/2009,3.378611,3.483889,3.326389,3.478611,3.386799,32371200,3.405139
5,11/9/2009,3.496667,3.528333,3.427778,3.473611,3.381931,33066000,3.4780555
1,14/9/2009,3.386389,3.543611,3.386389,3.532222,3.438994,28080000,3.465
2,15/9/2009,3.546111,3.610833,3.475556,3.5725,3.47821,38440800,3.5431945
3,16/9/2009,3.6075,3.734167,3.572778,3.731111,3.632635,35780400,3.6534725
4,17/9/2009,3.721389,3.81,3.656111,3.713333,3.615325,48164400,3.7330555
5,18/9/2009,3.766667,3.7675,3.690278,3.724167,3.625874,43934400,3.728889
1,21/9/2009,3.636389,3.721667,3.614444,3.692778,3.595313,29062800,3.6680555
2,22/9/2009,3.761667,3.789167,3.711111,3.762222,3.662924,28224000,3.750139
3,23/9/2009,3.787778,3.858333,3.646111,3.661389,3.564753,54482400,3.752222
4,24/9/2009,3.689167,3.709167,3.495833,3.541389,3.449568,49428000,3.6025
5,25/9/2009,3.5175,3.574167,3.448889,3.486944,3.396535,46148400,3.511528
1,28/9/2009,3.523611,3.694444,3.523611,3.668611,3.573492,31003200,3.6090275
2,29/9/2009,3.693056,3.743333,3.615833,3.647778,3.553198,37742400,3.679583
3,30/9/2009,3.680278,3.683889,3.497222,3.599722,3.506389,69984000,3.5905555
4,1/10/2009,3.573333,3.573333,3.326667,3.3275,3.241225,48999600,3.45
5,2/10/2009,3.233611,3.339167,3.2325,3.290556,3.205239,44949600,3.2858335
1,5/10/2009,3.320833,3.455833,3.290833,3.428056,3.339173,24753600,3.373333
2,6/10/2009,3.502778,3.633333,3.499167,3.578889,3.486096,36892800,3.56625
3,7/10/2009,3.549722,3.616389,3.532778,3.606389,3.512884,27640800,3.5745835
4,8/10/2009,3.685833,3.743611,3.640833,3.693611,3.597843,37036800,3.692222
5,9/10/2009,3.691944,3.753611,3.663889,3.752778,3.655477,16578000,3.70875
1,12/10/2009,3.810278,3.840278,3.756667,3.801111,3.702556,14670000,3.7984725
2,13/10/2009,3.766944,3.794722,3.700833,3.780833,3.682804,34099200,3.7477775
3,14/10/2009,3.907222,3.981944,3.858889,3.973056,3.870044,39006000,3.9204165
4,15/10/2009,3.914444,4.011389,3.906667,4.008889,3.904948,45428400,3.959028
5,16/10/2009,3.914722,3.962778,3.849722,3.923056,3.821339,45691200,3.90625
1,19/10/2009,3.941667,4.055556,3.9075,4.02,3.91577,38606400,3.981528
2,20/10/2009,4.039444,4.039444,3.8975,3.960278,3.857597,43588800,3.968472
3,21/10/2009,3.932222,4.072778,3.840833,3.851944,3.752071,38847600,3.9568055
4,22/10/2009,3.844444,4,3.769444,3.961944,3.859219,37843200,3.884722
5,23/10/2009,4.005833,4.008611,3.78,3.830278,3.730967,57596400,3.8943055
1,26/10/2009,3.839722,3.9575,3.671389,3.695278,3.599467,44269200,3.8144445
2,27/10/2009,3.718056,3.7525,3.626944,3.650278,3.555634,48697200,3.689722
3,28/10/2009,3.623889,3.653611,3.4375,3.445556,3.35622,48884400,3.5455555
4,29/10/2009,3.518056,3.685556,3.498889,3.664167,3.569163,56041200,3.5922225
5,30/10/2009,3.638056,3.661111,3.334167,3.351389,3.264494,109116000,3.497639
1,2/11/2009,3.400556,3.526111,3.299167,3.419444,3.330786,100245600,3.412639
2,3/11/2009,3.361111,3.466944,3.345278,3.453056,3.363526,75830400,3.406111
3,4/11/2009,3.538889,3.618333,3.453889,3.471389,3.381384,78206400,3.536111
4,5/11/2009,3.550556,3.6725,3.532222,3.668333,3.573221,38966400,3.602361
5,6/11/2009,3.603611,3.728056,3.588611,3.704167,3.608126,62679600,3.6583335
1,9/11/2009,3.789444,3.953889,3.777778,3.952778,3.850291,39171600,3.8658335
2,10/11/2009,3.925556,3.991667,3.888611,3.949444,3.847044,64198800,3.940139
3,11/11/2009,4.031667,4.087778,3.958333,4.015278,3.91117,77904000,4.0230555
4,12/11/2009,3.998333,4.061944,3.861944,3.8875,3.786705,82702800,3.961944
5,13/11/2009,3.923611,4.005833,3.864167,3.958333,3.855702,35064000,3.935
1,16/11/2009,4.038611,4.179722,4.031389,4.1275,4.020484,48492000,4.1055555
2,17/11/2009,4.0975,4.145833,4.050556,4.1425,4.035095,38041200,4.0981945
3,18/11/2009,4.134444,4.152222,4.058056,4.136944,4.029682,37515600,4.105139
4,19/11/2009,4.050556,4.054722,3.897222,3.974444,3.871395,38012400,3.975972
5,20/11/2009,3.911111,3.964722,3.883889,3.939167,3.837033,29286000,3.9243055
1,23/11/2009,4.071111,4.167222,4.056111,4.085278,3.979355,39074400,4.1116665
2,24/11/2009,4.096667,4.113611,3.998056,4.095833,3.989638,44406000,4.0558335
3,25/11/2009,4.115556,4.154167,4.077778,4.138056,4.030766,31179600,4.1159725
4,26/11/2009,,,,4.138056,,,4.1159725
5,27/11/2009,3.803611,4.020278,3.793611,3.938056,3.83595,34430400,3.9069445
1,30/11/2009,3.925556,3.998611,3.877778,3.981111,3.877889,58334400,3.9381945
2,1/12/2009,4.087222,4.165,4.063333,4.111944,4.00533,41918400,4.1141665
3,2/12/2009,4.123611,4.204167,4.082778,4.123611,4.016696,50508000,4.1434725
4,3/12/2009,4.153056,4.222222,4.012222,4.025278,3.920911,51422400,4.117222
5,4/12/2009,4.183611,4.24,3.984167,4.088889,3.982871,82767600,4.1120835
1,7/12/2009,4.08,4.146944,4.034444,4.07,3.964473,37828800,4.090694
2,8/12/2009,3.990278,4.005556,3.900556,3.941667,3.839468,40269600,3.953056
3,9/12/2009,3.932222,3.996389,3.872778,3.975556,3.872478,45885600,3.9345835
4,10/12/2009,4.052778,4.097222,4.026944,4.044722,3.939851,35863200,4.062083
5,11/12/2009,4.104722,4.125833,4.043333,4.104444,3.998025,62751600,4.084583
1,14/12/2009,4.183333,4.195833,4.127222,4.181389,4.072975,37184400,4.1615275
2,15/12/2009,4.135556,4.187778,4.085278,4.120278,4.013447,42526800,4.136528
3,16/12/2009,4.1775,4.211389,4.115833,4.138889,4.031575,51570000,4.163611
4,17/12/2009,4.055,4.076667,3.981667,3.994444,3.890876,61768800,4.029167
5,18/12/2009,4.056389,4.069722,3.958333,4.0575,3.952298,49118400,4.0140275
1,21/12/2009,4.121667,4.223056,4.121667,4.175833,4.067562,48315600,4.1723615
2,22/12/2009,4.21,4.254722,4.194444,4.225556,4.115997,22413600,4.224583
3,23/12/2009,4.259722,4.266389,4.199444,4.251944,4.144371,20901600,4.2329165
4,24/12/2009,4.278889,4.322222,4.277222,4.318611,4.20935,10627200,4.299722
5,25/12/2009,,,,4.318611,,,4.299722
1,28/12/2009,4.372222,4.372222,4.291667,4.347222,4.237238,19612800,4.3319445
2,29/12/2009,4.375,4.375,4.315833,4.318611,4.20935,19699200,4.3454165
3,30/12/2009,4.279444,4.325,4.272222,4.305278,4.196354,15246000,4.298611
4,31/12/2009,4.340833,4.341667,4.184722,4.185278,4.079391,13536000,4.2631945
5,1/1/2010,,,,4.185278,,,4.2631945
1,4/1/2010,4.294167,4.405833,4.291944,4.395833,4.284618,51296400,4.3488885
2,5/1/2010,4.393611,4.440833,4.348611,4.433611,4.321441,54493200,4.394722
3,6/1/2010,4.420278,4.473611,4.410556,4.446389,4.333896,53960400,4.4420835
4,7/1/2010,4.419722,4.513889,4.382222,4.500556,4.386693,38469600,4.4480555
5,8/1/2010,4.461667,4.548889,4.436944,4.544444,4.429469,44694000,4.4929165
1,11/1/2010,4.605278,4.610556,4.505278,4.560556,4.445174,52538400,4.557917
2,12/1/2010,4.473333,4.501111,4.383889,4.436667,4.324419,44100000,4.4425
3,13/1/2010,4.469444,4.584722,4.401944,4.549722,4.434613,59382000,4.493333
4,14/1/2010,4.529722,4.608333,4.524444,4.583611,4.467646,47178000,4.5663885
5,15/1/2010,4.563056,4.57,4.378333,4.431667,4.319546,91897200,4.4741665
1,18/1/2010,,,,4.431667,,,4.4741665
2,19/1/2010,4.423333,4.625278,4.4225,4.597778,4.481453,50670000,4.523889
3,20/1/2010,4.501944,4.504167,4.346944,4.458611,4.345808,75247200,4.4255555
4,21/1/2010,4.456111,4.498333,4.181944,4.1975,4.091303,118508400,4.3401385
5,22/1/2010,4.144722,4.188611,3.907222,3.925278,3.825968,126846000,4.0479165
1,25/1/2010,4.026667,4.044167,3.941111,3.973611,3.873079,45352800,3.992639
2,26/1/2010,3.93,4.051111,3.8975,3.923611,3.824343,50112000,3.9743055
3,27/1/2010,3.914167,4.005556,3.820833,3.982222,3.881472,66060000,3.9131945
4,28/1/2010,4.022222,4.025,3.773889,3.842778,3.745556,58471200,3.8994445
5,29/1/2010,3.893611,3.972222,3.699167,3.716944,3.622905,52362000,3.8356945
1,1/2/2010,3.799167,3.8925,3.789722,3.890833,3.792395,45889200,3.841111
2,2/2/2010,3.915278,4.0575,3.873889,4.035,3.932915,44449200,3.9656945
3,3/2/2010,3.980556,4.038611,3.938611,3.975,3.874432,35528400,3.988611
4,4/2/2010,3.880556,3.885278,3.6025,3.610278,3.518938,111412800,3.743889
5,5/2/2010,3.616944,3.649444,3.415278,3.631111,3.539243,126550800,3.532361
1,8/2/2010,3.634444,3.694444,3.538889,3.553056,3.463164,66070800,3.6166665
2,9/2/2010,3.672778,3.773889,3.585,3.681389,3.58825,96818400,3.6794445
3,10/2/2010,3.666667,3.721667,3.566389,3.661111,3.568485,62755200,3.644028
4,11/2/2010,3.644167,3.786111,3.582222,3.770833,3.675431,55386000,3.6841665
5,12/2/2010,3.653889,3.766944,3.605,3.760556,3.665413,66988800,3.685972
1,15/2/2010,,,,3.760556,,,3.685972
2,16/2/2010,3.851667,3.954444,3.803056,3.940278,3.84059,51130800,3.87875
3,17/2/2010,3.999167,4.014167,3.943889,3.995278,3.894197,50547600,3.979028
4,18/2/2010,3.978333,4.0925,3.974444,4.070833,3.967841,49428000,4.033472
5,19/2/2010,4.038889,4.140278,4.007222,4.0975,3.993833,41328000,4.07375
1,22/2/2010,4.138889,4.140833,4.060556,4.090833,3.987334,56332800,4.1006945
2,23/2/2010,4.06,4.099167,3.915,3.943611,3.843837,45126000,4.0070835
3,24/2/2010,3.978333,4.071111,3.951111,4.054444,3.951866,49525200,4.011111
4,25/2/2010,3.878889,4.044444,3.846667,4.040833,3.9386,44265600,3.9455555
5,26/2/2010,4.047222,4.085,3.976667,4.049167,3.946724,37738800,4.0308335
1,1/3/2010,4.094167,4.184444,4.093056,4.171111,4.065582,36324000,4.13875
2,2/3/2010,4.225556,4.266389,4.184722,4.2,4.09374,46710000,4.2255555
3,3/3/2010,4.241944,4.291667,4.1875,4.216667,4.109985,47365200,4.2395835
4,4/3/2010,4.234722,4.273333,4.186944,4.253889,4.146265,37026000,4.2301385
5,5/3/2010,4.3425,4.448056,4.307778,4.438889,4.326586,37839600,4.377917
1,8/3/2010,4.441389,4.470556,4.419722,4.438333,4.326043,28512000,4.445139
2,9/3/2010,4.393611,4.524167,4.393611,4.460556,4.347705,40816800,4.458889
3,10/3/2010,4.468056,4.555833,4.458333,4.521111,4.406727,44773200,4.507083
4,11/3/2010,4.490833,4.580833,4.447778,4.579444,4.463583,46339200,4.5143055
5,12/3/2010,4.638056,4.638333,4.544444,4.576111,4.460335,35812800,4.5913885
1,15/3/2010,4.555833,4.594167,4.477778,4.583611,4.467646,35942400,4.5359725
2,16/3/2010,4.620278,4.705278,4.585,4.693056,4.57432,48682800,4.645139
3,17/3/2010,4.7325,4.821667,4.729167,4.773611,4.652839,27262800,4.775417
4,18/3/2010,4.774167,4.7975,4.712778,4.769722,4.649049,35236800,4.755139
5,19/3/2010,4.692222,4.816944,4.640556,4.692222,4.573509,51573600,4.72875
1,22/3/2010,4.616667,4.796111,4.607778,4.768611,4.647965,33534000,4.7019445
2,23/3/2010,4.792778,4.8825,4.746111,4.873611,4.750308,36698400,4.8143055
3,24/3/2010,4.813889,4.858889,4.767222,4.801667,4.681892,42598800,4.8130555
4,25/3/2010,4.898333,4.954444,4.757222,4.773333,4.654265,38775600,4.855833
5,26/3/2010,4.802222,4.871667,4.711389,4.775833,4.656703,46944000,4.791528
1,29/3/2010,4.841111,4.883056,4.814167,4.857778,4.736605,27302400,4.8486115
2,30/3/2010,4.873611,4.918333,4.805556,4.866389,4.745,38066400,4.8619445
3,31/3/2010,4.8075,4.88,4.7675,4.812778,4.692726,48888000,4.82375
4,1/4/2010,4.919722,4.965556,4.829444,4.915,4.792399,28944000,4.8975
5,2/4/2010,,,,4.915,,,4.8975
1,5/4/2010,4.973056,5.043889,4.930556,5.030833,4.905342,41652000,4.9872225
2,6/4/2010,4.994444,5.096667,4.978333,5.0675,4.941096,25956000,5.0375
3,7/4/2010,5.041389,5.075,4.914444,4.987222,4.86282,73526400,4.994722
4,8/4/2010,4.921944,5.058611,4.886944,5.030833,4.905342,60832800,4.9727775
5,9/4/2010,5.067222,5.139444,5.04,5.130278,5.002307,53920800,5.089722
1,12/4/2010,5.153611,5.195556,5.134167,5.159167,5.030475,57906000,5.1648615
2,13/4/2010,5.138889,5.194444,5.063333,5.175278,5.046184,46080000,5.1288885
3,14/4/2010,5.228056,5.345,5.201389,5.341111,5.207881,52401600,5.2731945
4,15/4/2010,5.315278,5.390278,5.314444,5.361667,5.227924,50220000,5.352361
5,16/4/2010,5.304444,5.330278,5.023611,5.105556,4.978202,98654400,5.1769445
1,19/4/2010,5.055556,5.171667,4.986389,5.153333,5.024788,80553600,5.079028
2,20/4/2010,5.2575,5.308333,5.207222,5.293611,5.161566,38592000,5.2577775
3,21/4/2010,5.3075,5.341667,5.182222,5.264167,5.132857,55623600,5.2619445
4,22/4/2010,5.155278,5.333333,5.066111,5.312778,5.180255,52534800,5.199722
5,23/4/2010,5.303889,5.4225,5.262778,5.4175,5.282365,48006000,5.342639
1,26/4/2010,5.426389,5.461944,5.343333,5.354167,5.22061,39222000,5.4026385
2,27/4/2010,5.265,5.346667,4.949167,4.975,4.850902,77382000,5.147917
3,28/4/2010,5.051389,5.129444,4.954167,5.082222,4.95545,88092000,5.0418055
4,29/4/2010,5.184444,5.311389,5.178333,5.276944,5.145314,39535200,5.244861
5,30/4/2010,5.283611,5.301667,5.007222,5.009167,4.884216,47959200,5.1544445
1,3/5/2010,5.085556,5.247222,5.060278,5.210278,5.080312,44589600,5.15375
2,4/5/2010,5.029167,5.031389,4.763056,4.834167,4.713583,68968800,4.8972225
3,5/5/2010,4.711389,4.871667,4.650278,4.753611,4.635036,61869600,4.7609725
4,6/5/2010,4.691944,4.77,2.984722,4.28,4.173239,99219600,3.877361
5,7/5/2010,4.244722,4.370278,3.895556,4.091389,3.989333,74365200,4.132917
1,10/5/2010,4.588889,4.679722,4.488333,4.621944,4.506654,92386800,4.5840275
2,11/5/2010,4.491667,4.769167,4.479167,4.581944,4.467652,54151200,4.624167
3,12/5/2010,4.644167,4.794444,4.618333,4.776389,4.657247,45867600,4.7063885
4,13/5/2010,4.746944,4.805556,4.587222,4.598611,4.483902,35676000,4.696389
5,14/5/2010,4.498889,4.519444,4.226389,4.350278,4.241765,63964800,4.3729165
1,17/5/2010,4.386389,4.420278,4.106389,4.355,4.246368,62215200,4.2633335
2,18/5/2010,4.460833,4.500833,4.1325,4.181389,4.077088,58410000,4.3166665
3,19/5/2010,4.105833,4.218611,3.950278,4.106944,4.004498,69584400,4.0844445
4,20/5/2010,3.843611,3.895556,3.633056,3.636111,3.545411,106113600,3.764306
5,21/5/2010,3.471944,3.825556,3.447222,3.768333,3.674335,87904800,3.636389
1,24/5/2010,3.730833,3.825556,3.641111,3.651667,3.560579,67064400,3.7333335
2,25/5/2010,3.385,3.665833,3.313056,3.663889,3.572496,86853600,3.4894445
3,26/5/2010,3.731667,3.830278,3.5625,3.588056,3.498555,89953200,3.696389
4,27/5/2010,3.802222,3.96,3.757222,3.955833,3.857158,76500000,3.858611
5,28/5/2010,3.940556,3.946667,3.752778,3.799444,3.704669,77155200,3.8497225
1,31/5/2010,,,,3.799444,,,3.8497225
2,1/6/2010,3.695556,3.866389,3.598889,3.616389,3.526181,85586400,3.732639
3,2/6/2010,3.6725,3.8975,3.623889,3.893056,3.795947,73533600,3.7606945
4,3/6/2010,3.935556,3.973333,3.819167,3.933333,3.835219,68360400,3.89625
5,4/6/2010,3.716111,3.788333,3.484167,3.538056,3.449802,104630400,3.63625
1,7/6/2010,3.56,3.598611,3.381944,3.391667,3.307064,84384000,3.4902775
2,8/6/2010,3.398333,3.518333,3.309444,3.49,3.402944,86709600,3.4138885
3,9/6/2010,3.565278,3.661111,3.403611,3.437222,3.351483,104115600,3.532361
4,10/6/2010,3.614722,3.755556,3.600556,3.746944,3.653479,67320000,3.678056
5,11/6/2010,3.645556,3.805278,3.637222,3.796111,3.70142,79275600,3.72125
1,14/6/2010,3.887222,3.9475,3.768611,3.783889,3.689503,118116000,3.8580555
2,15/6/2010,3.861389,4.048333,3.840833,4.035556,3.934893,71647200,3.944583
3,16/6/2010,3.981111,4.083056,3.952222,4.031944,3.93137,93880800,4.017639
4,17/6/2010,4.068611,4.074722,3.936111,4.051111,3.950058,124084800,4.0054165
5,18/6/2010,4.076667,4.110278,4.027222,4.063611,3.962247,65246400,4.06875
1,21/6/2010,4.217222,4.226389,3.963889,4.023889,3.923516,70848000,4.095139
2,22/6/2010,4.028889,4.078333,3.810833,3.825,3.734099,99028800,3.944583
3,23/6/2010,3.833333,3.873333,3.711111,3.788889,3.698846,84870000,3.792222
4,24/6/2010,3.733056,3.748056,3.573056,3.602222,3.516616,121176000,3.660556
5,25/6/2010,3.633056,3.700556,3.535556,3.671111,3.583867,93074400,3.618056
1,28/6/2010,3.661944,3.690833,3.572222,3.607222,3.521496,65912400,3.6315275
2,29/6/2010,3.460556,3.4625,3.212778,3.278889,3.200967,124736400,3.337639
3,30/6/2010,3.248889,3.339167,3.15,3.165556,3.090327,79416000,3.2445835
4,1/7/2010,3.175278,3.206111,2.988611,3.145278,3.07053,145173600,3.097361
5,2/7/2010,3.173889,3.198889,3.034167,3.090556,3.017109,71157600,3.116528
1,5/7/2010,,,,3.090556,,,3.116528
2,6/7/2010,3.217222,3.283611,3.058611,3.148056,3.073243,83646000,3.171111
3,7/7/2010,3.170556,3.455833,3.161111,3.445278,3.363401,79945200,3.308472
4,8/7/2010,3.527222,3.559167,3.425556,3.546389,3.46211,68472000,3.4923615
5,9/7/2010,3.548056,3.625833,3.523889,3.623056,3.536954,36212400,3.574861
1,12/7/2010,3.588056,3.653333,3.544444,3.633611,3.547259,33098400,3.5988885
2,13/7/2010,3.7475,3.840556,3.726111,3.798333,3.708066,61707600,3.7833335
3,14/7/2010,3.763889,3.839722,3.716944,3.796944,3.70671,36277200,3.778333
4,15/7/2010,3.795278,3.836667,3.642778,3.799722,3.709422,49010400,3.7397225
5,16/7/2010,3.733056,3.743611,3.462778,3.485556,3.402721,74804400,3.6031945
1,19/7/2010,3.525,3.578611,3.440833,3.550278,3.465906,62506800,3.509722
2,20/7/2010,3.405,3.671667,3.4,3.663333,3.576274,65811600,3.5358335
3,21/7/2010,3.721111,3.723611,3.475833,3.525556,3.441772,78307200,3.599722
4,22/7/2010,3.648889,3.803333,3.646111,3.757778,3.668475,63691200,3.724722
5,23/7/2010,3.738889,3.870556,3.702222,3.854444,3.762843,60879600,3.786389
1,26/7/2010,3.869444,3.986944,3.842222,3.98,3.885415,50706000,3.914583
2,27/7/2010,4.043611,4.052778,3.925,3.972222,3.877822,50284800,3.988889
3,28/7/2010,3.947222,3.983333,3.857778,3.8975,3.804876,40449600,3.9205555
4,29/7/2010,3.965278,3.997778,3.747778,3.839722,3.748471,60404400,3.872778
5,30/7/2010,3.722222,3.896944,3.7025,3.835833,3.744675,58716000,3.799722
1,2/8/2010,4.018056,4.115,3.969722,4.095,3.997683,37040400,4.042361
2,3/8/2010,4.066667,4.097778,3.997778,4.038056,3.942092,39790800,4.047778
3,4/8/2010,4.071667,4.135556,4.03,4.1175,4.019649,40989600,4.082778
4,5/8/2010,4.044167,4.111389,4.022222,4.102778,4.005276,40399200,4.0668055
5,6/8/2010,3.983889,4.074722,3.895278,4.051944,3.95565,50518800,3.985
1,9/8/2010,4.111389,4.140556,4.048611,4.116389,4.018562,24206400,4.0945835
2,10/8/2010,4.014722,4.118056,3.943889,4.056944,3.960531,56217600,4.0309725
3,11/8/2010,3.861111,3.868056,3.701111,3.722222,3.633763,57358800,3.7845835
4,12/8/2010,3.549722,3.689722,3.545833,3.654722,3.567868,38739600,3.6177775
5,13/8/2010,3.616667,3.683611,3.605556,3.614444,3.528547,38059200,3.6445835
1,16/8/2010,3.5475,3.646667,3.505556,3.613333,3.527462,44658000,3.5761115
2,17/8/2010,3.703056,3.824444,3.674167,3.737778,3.64895,48574800,3.7493055
3,18/8/2010,3.739722,3.825,3.675833,3.763889,3.674441,40644000,3.7504165
4,19/8/2010,3.708611,3.733611,3.523333,3.570556,3.485702,75614400,3.628472
5,20/8/2010,3.534722,3.550556,3.456111,3.5375,3.453431,51912000,3.5033335
1,23/8/2010,3.585278,3.635833,3.486667,3.490278,3.407331,41868000,3.56125
2,24/8/2010,3.374722,3.421111,3.283611,3.341111,3.26171,63388800,3.352361
3,25/8/2010,3.280278,3.411111,3.218333,3.368611,3.288556,52070400,3.314722
4,26/8/2010,3.414722,3.435278,3.272778,3.302778,3.224288,48931200,3.354028
5,27/8/2010,3.368611,3.4675,3.219444,3.458333,3.376146,59774400,3.343472
1,30/8/2010,3.432778,3.462778,3.307778,3.31,3.231338,47653200,3.385278
2,31/8/2010,3.269722,3.37,3.232222,3.319444,3.240557,66081600,3.301111
3,1/9/2010,3.445833,3.618611,3.437778,3.606389,3.520684,52390800,3.5281945
4,2/9/2010,3.633889,3.707222,3.610556,3.707222,3.61912,37252800,3.658889
5,3/9/2010,3.818056,3.860556,3.756111,3.848056,3.756607,50018400,3.8083335
1,6/9/2010,,,,3.848056,,,3.8083335
2,7/9/2010,3.795278,3.809167,3.712222,3.725556,3.637018,41774400,3.7606945
3,8/9/2010,3.741667,3.841944,3.736944,3.798056,3.707795,42012000,3.789444
4,9/9/2010,3.925,3.931111,3.822222,3.851389,3.759861,33559200,3.8766665
5,10/9/2010,3.873889,3.922778,3.847222,3.911389,3.818435,29419200,3.885
1,13/9/2010,4.026111,4.064167,3.979167,4.038889,3.942905,37990800,4.021667
2,14/9/2010,4.016944,4.1,3.970556,4.03,3.934228,37494000,4.035278
3,15/9/2010,3.9975,4.092222,3.960556,4.0825,3.98548,31924800,4.026389
4,16/9/2010,4.038611,4.082778,3.998611,4.075,3.978157,38494800,4.0406945
5,17/9/2010,4.135556,4.148611,4.046667,4.078056,3.98114,34030800,4.097639
1,20/9/2010,4.126667,4.294167,4.094444,4.271944,4.170421,40345200,4.1943055
2,21/9/2010,4.273056,4.333333,4.184444,4.233611,4.136577,77965200,4.2588885
3,22/9/2010,4.222222,4.286944,4.14,4.18,4.084194,46504800,4.213472
4,23/9/2010,4.070556,4.201944,4.039167,4.073889,3.980515,54205200,4.1205555
5,24/9/2010,4.210556,4.331111,4.198889,4.318056,4.219087,39200400,4.265
